place_name,place_rating,reviewer_name,review_title,review_content,user_rating,detail_price,detail_service,detail_food
오는정김밥,4,seongeuny5,전화예약을 하고 방문하세요.,튀긴유부 김밥이 색다르고 맛있어서 기억에 남는 곳입니다. 꼭 전화예약 후 방문해야지 예약 없이 가면 한정없이 기다릴 수도 먹지 못할 수 도 있습니다.,50,,,
오는정김밥,4,MIJINJ25,유명한곳,"워낙 메스컴이나 여행객들사이에서 유명하다고해서
우연히 들린곳인데
전날전화를 100통식해도 사기힘들다고해서
혹시나아침 10시에 가봣는데 구매바로가능하네요
맛도있고추천해요",50,,,
오는정김밥,4,GrandTour43571739898,인생 김밥,"서귀포 가시면 꼭꼭 추천요~~ 전화 예약이나 직접 방문 후 포장만 가능한데 항상 통화중이라 연결되기 힘들지만 그래도 꼭 도전해서 맛보시길. 김밥이라고 우습게 보시면 안됩니다.
저는 저녁도 배불리 먹은 상태라 맛이나 보자고 2줄만 포장했다가 얼마나 후회했는지... 아무리 배불러도 한 입 먹으면 '어 이거 뭐지??""라는 생각과 함께 젓가락을 놓지 못하는 자신을 발견하게됩니다.",50,,,
오는정김밥,4,ckb8082,제주 있는 동안 계속 드세요,"정말 서귀포쪽 여행 중이거나 지나가시면 무조건 드세요
정류가 다양하지만 저는 가장 기본인 오는정김밥이 젤 맛있었어요. 그리고 예약 할때 전화연결 잘 안되니 침착하게 하시고 이왕 구매할 때 왕창 사세요
인당 2~3줄 그냥 소화 가능 합니다",40,,,
오는정김밥,4,hanjjang_gogo,제주도 김밥하면 나오는 이름 오는정 김밥,"유부 튀김 조각이 들어가 있는 김밥입니다. 오는정김밥과 참치 김밥만 먹어 봤는데, 그냥 일반 김밥이 더 맛있어요.. 괜히 예약한다고 전화 걸고 그러는데 그러지 말고 주변 지나가면서 잠깐 들려 예약하고 늦은 시간 찾아 가세요.. 전화 많이 하는데,, 가보니까 통화 하느라 못 받는 거 아니고 그냥 안 받고 있더라고요..
엄청 맛있다?? 글쎄요.. 경험 삼아 먹어 볼 수는 있지만, 몇 시간 기다려 먹을만한 음식은 절대 아닙니다. 저는 10시에 방문해서 예약 하고 5시 숙소 들어 가기전 찾아 야식으로 먹었어요.",40,30,30,30
오는정김밥,4,GlobeTrotting691828,진짜 맛있어요,"포장만 가능. 평일이라 전화 17통만에 연결됨
친절해요 기본 김밥이 제일 맛있고
치즈도맛있었어요
3줄샀는데 더 안산걸 후회했어요,,",50,,,
오는정김밥,4,kej5155,대기시간 최소 3시간.,기본 20번 이상 전화하면 운좋아야 한번 통화가 되어서 예약이 가능합니다. 그렇게 통화가 되어도 3시간 이상 기다려야 합니다. 기본 오는정김밥이 3천원인데 사이즈는 줄고 가격은 올랐네요. 조금 느끼하니 많이 먹어야 2줄 이상 못먹어요. 별미로 먹기 좋습니다.,30,,,
오는정김밥,4,moonlightbay,맛있는 김밥,전화통화 80번 했는데 실패해서 결국 직접 가서 예약했어요. 김밥 좋아해서 엄청 기대했는데 김밥 자체가 맛있어서 만족했어요. 집에서 만든 맛있는 김밥 같은 느낌. 부재료 조화가 좋아요!,50,,,
오는정김밥,4,mintg6,예약필수,"평일이라 전화 28번만에 연결되었다. 오는정김밥, 참치김밥, 멸치김밥 주문했는데 전에 먹었을때보다 맛이 없었다. 이날같은 맛이면 앞으로 굳이 전화해서 힘들게 안 먹어도 될듯하다",30,,,
오는정김밥,4,aelley,묘하게 생각나는,"예약을 하지 않으면 먹을 수 없는 번거로움에도 불구하고 일년에 두세번은 먹는 김밥.
무난하고 깔끔한 맛은 아닌 기름진 맛.
기본 밥 자체가 기름에 튀긴듯한 유부를 넣고 만들어 밥 자체가 기름져 김밥만 먹기보단 따뜻한 미소된장과 먹는 것을 나는 선호한다.
두줄이상은 느끼하지만 그럼에도 기억나는 김밥이다.",30,,,
오는정김밥,4,Storyteller669665,전날예약필수,미리예약하고 방문해서 웨이팅없이 김밥을 받을 수 있었지만 뭔가 예약을해야한다는 번거로움? 김밥자체는 나쁘지 않았는데 한번쯤은 먹어볼만한..곳,30,30,30,30
오는정김밥,4,tourkwang,맛있긴 합니다,바로 앞에 숙소를 잡아서 미리 예약하고 시간 맞춰서 받으러 간 후 호텔에서 먹어봤는데요...솔직히 특별하다는 느낌은 못 받았지만 맛은 있었어요,30,,,
오는정김밥,4,chankyul,제주 오면 한번 먹어봐야죠~,"이번엔 바로 옆에 숙소를 잡아서 편하게 먹었음~!
역시나 맛있어요~! 몇년만에 방문한 제주도 몇년전 보다 맛이 있어진거 같아요ㅋ 추천합니당.
미리 전화하세요.",50,,,
오는정김밥,4,Jeemin S,김밥천국이 나아요.,맛없진 않아요. 근데 주문하고 40분 기다리는건 후회하게되요. 않 기다려도 되는 김밥집 찾으세요. 맛은 똑같을테니. 이해가 않가네.,20,,,
오는정김밥,4,Morrenavi,생각보다 과장된 곳 맛도 과장된 곳,"처음엔 예약하셨냐고 문전박대 당하고!

그래서 그리 맛이 있고 유명한가 싶어 먹어본 솔직한 느낌은 언론조작인가? 싶은 그정도 수준 입니다

미슐랭 지정도 아니고 대단한곳이 아니라는건 예약을 안해도 사먹을수 있는곳 으로 의식이 바뀌었음 합니다.

그정도의 맛을 주는곳이 아니라고 확실히 말해두고 싶습니다

세상에 포장 받아갈때 주차장도 마련되어있지 않으면서 주의하고 시간 잘맞춰서 오라는 글귀 정말 어처구니가 없는 곳 같습니다",10,,,
오는정김밥,4,xk0062682018,뜻밖에 맛있는 김밥,"제주도 맛있는 김밥 몇군데 찾아서 먹어볼려고 계획하고 갔다
다른데는 전화예약을 해야된다고 해서 몇십번 걸어도 받질 않아 포기하고 여기를 오전에 들렸다
다행이 사람이 별로 없어 한 10분 기다리고 받았다
3가지 먹어봤는데 김밥 사이즈가 두툼하고 재료도 많이 들어가있다
특히 매콤치킨? 김밥이 제일 맛있었다",50,,,
오는정김밥,4,Passport734172,기다림의 상술로 과대평가된 김밥집,"고봉민김밥이 훨씬 맛있습니다.
예약해가며 기다려서먹을 그런집은 아니에요.
과대평가된 집.
맛이없는건아니지만 명성에비해 오옷하는 그런건없었어요.
지나친 웨이팅타임이 맛과 비례하지않습니다.",20,,,
오는정김밥,4,Paradise809542,예약이 힘들었던,"어떤 사람은 400번 했다는데
저는 12번만에 성공!
종류별 하나씩 주문.당일주문 성공!
김밥재료들을 튀겨내서인지 맛없을 수 없었음
하지만 또 먹고 싶은 생각은…
시간 많으신분은 한번쯤",30,,,
오는정김밥,4,473hyunjink,그냥 특색있는 김밥,"엄청 기대한건 아니었지만 여행스케줄 조정해가며 굳이 먹어볼만한 맛은 아니었어요.
맛이 나쁘진 않은데 대체적으로 간이 무척 세고 기름져서 김밥 엄청 좋아하는 저도 좀 물리더라구요. 한번 먹어본 것에 만족합니다.",20,,,
오는정김밥,4,aelley,회사 점심,"점심에 직원들과 먹기 위해 전날에 미리 주문 예약을 했다.
점심때 받기위해서는 하루전 예약이 필수이며, 다른 시간대의 경우는 못해도 찾으려는 시간의 3시간 전 예약은 해야할 정도로 인기.
재료를 튀긴 것들이 많아서 기름이 좀 많은 편이어서 질릴 수도 있지만 새로운 김밥을 먹고 싶은 분들에게 추천한다.
맛이 없진 않다. 분명 맛 있지만 나는 많이 먹긴 힘듬.",30,,,
오는정김밥,4,annahyojin,현지인 추천 방문,잘 몰랐던 곳인데 현지인이 추천해서 아주 오래 전 방문했다가 제주에 가게되면 일부러라도 들르는 곳입니다. 전화로 예약하는 것도 여유 시간을 둬야할 정도로 엄청난 인기. 처음엔 이게 뭐라고... 하지만 먹고 나면 자꾸 생각나는 맛입니다. 밥에 튀김가루를 섞은 그런 느낌이랄까... 다른 김밥이랑 좀 다르긴 해요. 희한하게 자꾸 생각나는 김밥입니다.,40,40,40,40
오는정김밥,4,LoveTravel452882,맛있어요,예약하고 3시간쯤 후에찾으러 갔던거같아요 엄청 특별하진 않은데 지나고나면 생각나는 맛이에요,40,,,
오는정김밥,4,태영 김,올레시장간김에 포장해왔어요,"올레시장가는길에 혹시나해서 전화해보니
한시간뒤에 오라고해서 시장보다 찾으러갔답니다
오는정김밥이 제일맛있다고해서 포장해와서 먹었는데 독특한것이 맛이 없진않더라구요
다만 주말에 3-4시간 기다려서 먹어야한다면
비추네요 올레시장가실일 있으면 미리
전화해두고 찾으러가시면 아주 좋을듯합니다",30,,,
오는정김밥,4,jihyeL181,3시간전 전화예약,"홀에서 먹지도 못하고 예약도 3시간전에 해야합니다. 맛있어서 제주도 갈때마다 먹는데요
제발 매장확장 해주세요~",40,,,
오는정김밥,4,e2rs0000,엄청 맛있다고 추천받았는데...,"지인이 정말 맛있었다고 해서 가봤는데요. 가게에서 바로 구매하지도 못하고, 예약도 몇시간 전에 미리 해야하고 너무 먹기 힘든거에 비해 실망스러웠네요. 어차피 주문은 들어간건데 이동시간도 긴 제주에서 왜 꼭 그시간에 찾아가야하는지 비효율적인 시스템이 이해하기 어려워요.",20,,,
오는정김밥,4,sohyoungp,제주지인에게 추천받은 김밥,"너무 맛있다고 꼭먹어보라해서 10시쯤 전화했는데 3시에 찾으러오라고 하더라구요
바로먹을수없는 김밥맛집!
어디서도 맛볼수없는 독특한 김밥임은 분명해요
전 기본김밥이 제일맛있었는데 일행들은 치즈 떡갈비 멸치 각자 맛있는게 다르더라구요^^
유부가들어간 특별한 맛 꼭 먹어보세요",40,,,
오는정김밥,4,ray1279,매우 유명한 김밥집,먹고 싶어도 매우 먹기가 힘든 유명한 김밥집입니다 개인적으로 김밥은 저의 취향이 아니지만 먹기 힘든김밥이라 누가사다주면 먹습니다 사실 재료를 다 튀겨서 좀 느끼하고 물리는 어린이 입맛입니다,30,30,30,30
오는정김밥,4,sunasea,꼭 먹어야 할까?,식빵 잘게 잘라서 기름 잔뜩 먹게 튀긴걸 넣은듯한.. 김밥 씹을때 안에서 딱 식빵튀긴 식감과 그안에서 흘러나오는 기름이 퐝 터져요. 순전히 내 생각이지 그걸 넣은 김밥 이란건 아니랍니다.. 맛은 꼭 예약하고 먹어야하나 싶네요,20,,,
