review,place,reviewer,room,price,location,service,clean,company,bedding,rating,alpha,region
숙박 하다 바다 하다 처음 방향 으로 잡다 바로 도로 건너편 자리 개다 찝찝하다 덥다 바다 바꾸다 그리고 직원 친절 늘다 별로 에요,탐라 스테이 호텔 제주,Passport09376479346,0.0,0.0,0.0,0.7101,0.7257,여행 유형: 나 혼자 여행함,0.0,2.1,5.96,4
조용하다 깔끔하다 바다 전망 호텔 이다 가격 대비 매우 만족스럽다 이다 인근 센터 에서 뜨다 객실 에서 바다 보다 먹다 좋다 공항 이랑 가깝다 방문 의사 있다,탐라 스테이 호텔 제주,쫑아리,0.0,0.7071,0.7651,0.0,0.0,여행 유형: 가족과 여행함,0.0,5.59,5.96,4
제주시 인근 위치 하고 있다 오션 뷰룸 경우 탁트인 전망 즐기다 아침 식도 필요하다 메뉴 어르신 좋아하다 구성 되어다,탐라 스테이 호텔 제주,Sang-Yoll Kim,0.0,0.0,0.7651,0.0,0.0,여행 유형: 가족과 여행함,0.0,6.0,5.96,4
공항 에서 멀다 않다 조용하다 머무르다 추천 드리다 시설 깨끗하다 아주 좋다 가격 대비 훌륭하다,탐라 스테이 호텔 제주,jiyoun_K,0.0,0.7071,0.0,0.0,0.0, ,0.0,4.8,5.96,4
깨끗하다 좋다 오션 좋다 화장실 깨끗 생각 보다 식이 맛있다 주차 자리 없다 직원 대신 해주다 편하다 단점 수영 장이 작고 까지만 수영 하다 아쉬움,탐라 스테이 호텔 제주,나나랜드,0.7075,0.0,0.0,0.0,0.7333, ,0.724,4.37,5.96,4
체크 편리하다 무엇 보다 방이 엄청 커서 침대 라서 가족 묵다 충분하다 야외 수영장 조그맣다 있다 소독약 써다 그렇다 조금 탁하다 아이 하고 놀다 충분하다 스비,탐라 스테이 호텔 제주,Wanjoon Jeon,0.0,0.0,0.0,0.0,0.0,여행 유형: 가족과 여행함,0.0,5.22,5.96,4
체크 인하다 부터 프론트 직원 고객 응대 부터 기분 식도 깔끔하다 맛있다 하다 없이 제주 최고,탐라 스테이 호텔 제주,Woosik L,0.0,0.0,0.0,0.7482,0.0,여행 유형: 연인과 여행함,0.0,5.8,5.96,4
묵다 아주 만족스럽다 곳뷰 좋다 조용하다 공항 가깝다 제주도 마지막 으로 계속 되다 깨끗하다 좋다,탐라 스테이 호텔 제주,현주 이,0.0,0.0,0.0,0.0,0.0,여행 유형: 가족과 여행함,0.0,5.67,5.96,4
호텔 에서의 런치 뷔페 예요 지역 주민 많이 이용 하다 물가 비싸다 제주 에서 맛있다 음식 마음껏 먹다 특히 문어 초회 대박 예요,탐라 스테이 호텔 제주,은지맘,0.0,0.0,0.0,0.0,0.0,여행 유형: 가족과 여행함,0.0,3.9,5.96,4
비수 기르다 비싸다 싸다 않다 적당하다 가격 머무르다 호텔 혼자 이다 외롭다 않다 편의점 있다 편의 시설 좋다,탐라 스테이 호텔 제주,640lims,0.0,0.0,0.0,0.0,0.0, ,0.0,5.1,5.96,4
애월 해변 있다 오션 하다 애월 해변 이보 이고 아침 일출 보다 조용하다 위치 하고 있다 휴양 하다 좋다 조금 나가다 밥집 바로 실수 있다 괜찮다 만회 용용 품다 편의점 에서 구매 하다 야하다 또창 방충 없다 그렇다 모기 파리 창문 열다 많이 들어오다 깜짝 놀래다,탐라 스테이 호텔 제주,pearl998,0.0,0.0,1.55,0.0,0.0,여행 유형: 가족과 여행함,0.0,4.22,5.96,4
우선 애월 해안 도로 바로 이라 에서 보다 바다 전경 이참 좋다 방도 넓다 편이 편하다 되다 자동차 오다 권하다 거리 좋다 편의점 있다 불편하다 없다 칫솔 치약 없다,탐라 스테이 호텔 제주,jamiee14,0.0,0.0,0.775,0.0,0.0,여행 유형: 나 혼자 여행함,0.0,4.13,5.96,4
바다 가바 창가 있다 서너 멋지다 이에요 다음 에도 가다 수영장 이용 아쉽다 아쉽다 여름 에가 싶다,탐라 스테이 호텔 제주,선희 임,0.0,0.0,0.0,0.0,0.0, ,0.0,5.0,5.96,4
새롭다 생기다 호텔 이라 리뷰 별로 없다 기대 이상 으로 만족스럽다 특히 에서 보이다 바다 정말 최고,탐라 스테이 호텔 제주,디망쉬,0.0,0.0,0.0,0.0,0.0,여행 유형: 나 혼자 여행함,0.0,5.3,5.96,4
너무 옛날 스타일 예요 빼다 어둡다 칙칙하다 냄새 나다 ㅠㅠ 여행 에서 숙박 하다 금액 가장 많이 주다 그만하다 되다 같다 않다,탐라 스테이 호텔 제주,Joanna H,0.0,0.7606,0.0,0.0,0.0,여행 유형: 가족과 여행함,0.0,1.84,5.96,4
제주도 여행 마지막 공항 가깝다 묵다 호텔 블로그 좋다 평이 자자하다 기대 차다 많이 하다 로비 들어서다 순간 년대 어진 호텔 인가 싶다 이미지 복도 어둡다 눅눅하다 쾌쾌 냄새 호텔 흉내 내다 모텔 같다 느낌 복도 걸리다 커튼 제발 빼다 바다 빼다 여지 다니다 호텔 제일 별로 이다,탐라 스테이 호텔 제주,태숙 손,0.0,0.0,0.0,0.7088,0.0,여행 유형: 가족과 여행함,0.0,2.22,5.96,4
넓다 에가 바다 담기다 전망 최고 이다 제주 공항 이랑 가깝다 애월쪽 이랑 가깝다 위치 좋다 얼마 안되다 시설 비교 깔끔하다 요금 저렴 한편 이구 요하 지만 조식 은별 이다 짜다 음식 이다 식다 그렇다,탐라 스테이 호텔 제주,miiin0114,0.0,0.0,0.0,0.0,0.0, ,0.0,4.0,5.96,4
조용하다 친구 여행 갈다 좋다 하다 약간 외다 바다 전망 좋다 가다 가다 중국 단체 관광객 있다 서약 소란 스럽다 하다 오래 가지다 않다 다행 이다 언제 묵다 따르다 다르다 객실 상태 아주 좋다 테이블 있다 맥주 차마 시기 에도 좋다 깔끔하다 스타일 편하다 오다 침대 다른 보다 푹신하다 자고 오다 편의점 친절하다 이용 하다 기억 남다 식당 이용 해보다 않다,탐라 스테이 호텔 제주,JIWON L,0.0,0.0,0.0,0.0,0.7661, ,0.8084,4.42,5.96,4
식이 너무나 맛있다 미역국 추하다 객실 오션 뷰쪽 으로 얻다 한적하다 애월 바다 만끽 실수 있다 중국인 단체 많아지다 그것 빼다 제주시 에가,탐라 스테이 호텔 제주,merimceo,0.0,0.0,0.775,0.0,0.0, ,0.0,4.75,5.96,4
체인 호텔 아니다 예약 과정 부터 체크 까지 직원 굉장하다 친절하다 더블 침대 가두 있다 묵다 아주 널찍하다 오션 좋다 수영 장이 있다 옥상 솔직하다 만하 않다 너무 작다 올라가다 길다 불편 야외 있다 괜찮다 수영 장이 용하다 사람 많다 않다 처음 찾아가다 조금 헤매다 깔끔하다 시설 만족스럽다 위치 애월쪽 여행 예정 이라 좋다 테이블 과의 자도 멋지다 욕실 에는 욕조 없다 아쉽다 전반 으로 가격 대비 만족스럽다,탐라 스테이 호텔 제주,쪼꼬맘,0.0,0.7071,0.0,0.0,0.0,여행 유형: 친구와 여행함,0.0,4.4,5.96,4
충분하다 퀼리티을 높다 위치 조건 인데 오픈 부터 계속 가다 가치 점점 낮아지다 느낌 이다 조식 점점 만큼의 수준 이다,엠스테이 호텔 제주,jefferson,0.0,0.0,0.0,0.0,0.0, ,0.0,3.5,5.79,3
조식 없이 ㄱㄷ 통해 서예 약하다 개월 아이 포함 식구 이다 박일 있다 호텔 위치 좋다 서귀포시 내지 외곽 가까이 위치 하고 있다 숙소 자체 깔끔하다 좋다 참고 제주도 정책 바뀌다 어느 호텔 이나 용품 비치 금지 하고 있다 샴푸 바디 워시 비누 구비 되다 칫솔 경우 챙기다 갈다 야하다 아니다 편의점 에서도 구매 가능하다 다만 화장실 배수 잘알다 되다 바닥 물이 떨어지다 흐르다 않다 그래서 화장실 미끄럼 방지 발판 있다 같다 작다 세탁 서비스 외주 업체 쓰다 건조 따로 하다 근처 코인 세탁소 용해 야하다 멀다 않다 있다 프론트 에서 나누다 줍다 금고 없다 편의점 들어서다 고프다 론트옆 에는 카페베네 있다 등부 시설 훌륭하다 루프 수영장 이라고 하다 예약 하다 생각 보다 크다 않다 동남아 그렇다 루프 이아 라그 옥상 냉탕 놓다 수준 이라고 생각 하다 되다 바람 넣다 프레 있다 위치 하고 숙소 인가 까지 있다 그런데 보통 이유 일단 방음 약하다 저희 옆방 가족 단위 투숙 묵다 떠들다 소리 저희 까지 들리다 옷장 아래 냉장고 있다 너무 약하다 최대로 틀다 어는 둘째 치고 시원하다 않다 첫날 저녁 프론트 에서 작업 하다 일이 있다 작업중 이다 투숙 일부 냉장고 가왜 이렇게 약하다 물어보다 몇팀 있다 데프론 에서는 고장 아니다 지금 전부 그렇다 다라 답변 하다 저희 기간 그렇다 모르다 냉장고 진짜 약하다 첫날 저녁 사서 넣다 두다 미역국 이다 음날 아침 먹다 쉬었 니말 하다 그리고 가장 최악 주차 시설 이다 일방 통행 갓길 주차 엘리베이터 쓰다 있다 주차 엘리베이터 고객 에게 맡기다 고장 난적 있다 지경 고문 으로 임의 조작 고장 면시 가량 이용 직원 불다 달라 글귀 곳곳 붙다 문제 사람 이한창 움직이다 전시 시시 빼다 고하 복불복 이다 저희 경차 스파크 여서 바로바로 나오다 어떻다 시간 기다리다 하다 순서대로 빼주 아니다 주차 되다 장소 따라서 먼저 나오다 나중 에나 고합 다그 대기 주차장 에서 하다 되다 주차장 크다 선풍기 대만 있다 대기 길어지다 습하다 덥다 기다리다 동안 숙소 올라가다 없다 빼다 갖다 바로 나가야 주차장 에는 숙소 연락 인터폰 없다 인터폰 같다 하나 있다 데프론 연결 된거 같다 주차 요원 서너 되다 같다 매우 바쁘다 움직이다 하다 바로 움직이다 없다 기해 야하다 크다 불편 이다 그리고 주차장 하층 에서 로비 숙소 가다 엘리베이터 가깝다 길다 이고 캐리어 있다 돌아가다 되다 데이 소소하다 불편하다 저희 가족 크다 캐리어 넣다 엄청 무겁다 지하 아로마 안마 실과 노래방 있다 하층 에는 운동 시설 있다,엠스테이 호텔 제주,지구별여행자7377,0.0,0.0,1.5662,0.0,0.0, ,0.0,2.85,5.79,3
주위 다른 숙소 대비 깔끔하다 가격 아쉽다 호텔 이라 만족하다 다만 청소 관리 좀더 신경 써다 하다 하다 그래도 만족하다 조식 은경 험하다 알다 없다,엠스테이 호텔 제주,SangYupLee,0.0,0.7071,0.0,0.0,0.0,여행 유형: 출장으로 여행함,0.0,4.25,5.79,3
없다 있다 칫솔 치약 그리고 샴푸 린스 바디 워시 겸용 이다 방음 잘알다 서다 아주 쬐다 거슬리다 웅성거리다 소리 문소리 들다 주차장 아저씨 조금 짜증 내시 레시 가깝다 이랑 오다 가성 괜찮다,엠스테이 호텔 제주,보디아,0.0,0.7177,0.0,0.0,0.0, ,0.0,3.75,5.79,3
공항 이나 다른 에서 버스 타고 서귀포 중앙 로터리 에서 서다 서정 걸다 야하다 주변 레시 장이 있다 간식 거리 많이 호텔 카페 술집 편의점 갖추다 편하다 객실 깔끔하다 아늑하다 세련되다 인테리어 이다 어메니티 비누 그리고 바디 헤어 겸용 샴푸 크다 으로 하나 비치 되어다 현관 놓다 걸다 공간 있다 좋다 냉장고 침대 근처 아니다 현관 있다 넣다 두다 음료 가다 지르다 불편하다,엠스테이 호텔 제주,아서,0.0,0.0,0.0,0.0,0.0,여행 유형: 나 혼자 여행함,0.0,5.2,5.79,3
가성 별로 요즘 서귀포 저가 호텔 많이 생기다 가격 대비 좋다 많다 그리고 바닥 카펫 이라 청결하다 않다,엠스테이 호텔 제주,K.I,0.0,1.4248,0.0,0.0,0.7492,여행 유형: 연인과 여행함,0.7036,4.0,5.79,3
체크 시간 시로 착각 체크 인전 프런트로 전화 하다 얼리다 체크 가능하다 문의 드리다 여직원 받다 돼다 하다 적어도 호텔 이면 돼다 요하 면서 불친절하다 대답 아니다 차라리 현재 수기 세시 부터 가능하다 하다 여행 둘째 기분 상하 않다 전날 메종글 에서 투숙 하다 호텔 너무 상반 되어다 호텔 객실 저렴하다 수영장 무료 차다 좋다 아쉽다 실제 체크 시엔 박씨 이다 백씨 직원 받다 여행사 결제 하다 오다 불구 하고 십만 얼마 현장 결제 하라 겁니다 결제 하다 오다 도아 라며 응대 하고 하다 웃다 겁니다 심지어 죄송하다 도안 하다 프런 트이다 직원 에게 로비 휴지통 이안 보이다 있다 여쭈다 기분 안좋다 표정 으로 예주 요하 기본 서비스 메뉴얼 교육 받다 직원 같다 다시다 싫다 호텔 이에요 최악 이에요,엠스테이 호텔 제주,설빙,0.0,0.0,0.0,0.7482,0.0,여행 유형: 연인과 여행함,0.0,1.26,5.79,3
여러가지 따뜻하다 가깝다 시설 확실하다 좋다 조식 신청 하다 먹다 그렇다 같다 많이 가지 않다 정말 좋다,엠스테이 호텔 제주,temitel,0.0,0.0,0.0,0.0,0.0, ,0.0,5.57,5.79,3
사실 게스트하우스 도명 이상 되다 로안 싸다 위치 안좋다 고해 여기 묵다 펜션 처럼 쓸데없이 비싸다 않다 시설 서비스 위치 모두 만족스럽다 편의점 있다 근처 맛있다 많다,엠스테이 호텔 제주,e2rs0000,0.0,0.0,0.0,0.0,0.0,여행 유형: 친구와 여행함,0.0,5.09,5.79,3
월말 방문 하다 당일 수영장 이용 얘기 있다 계절 오픈 않다 어메니티 올인원 샴푸 있다 컨디셔 치약 칫솔 없다 내용 가운 트렁크 올려놓다 공간 없다 방문 하다 호텔 전체 전화 고장 서문 전화 룸서비스 불가능하다 편의점 커피숍 있다 걸다 거리 올레 시장 있다 타워 주차장 이라 번거럽습 지붕 높다 타워 주차 불가능 으로 발렛파킹 비슷 해주다 걸다 바닷가 에가 늘다 도전 해보다 않다 길이 좋다 아보 이진 않다 아침 눈뜨다 바라보다 창밖 풍경 으로 모든 만족스럽다 객실 이다 높다 오션 추천,엠스테이 호텔 제주,Colleen L,0.0,0.0,0.0,0.0,0.0,여행 유형: 가족과 여행함,0.0,3.19,5.79,3
업무 차오 가족 같이 오다 휴가 지내다 엠스테 삼박 사일 시간 보내다 호텔 이다 호텔 수영 장이 있다 건물 이라 깔끔하다 아쉽다 조식 조금 부족하다 느낌 이다,엠스테이 호텔 제주,412 DO HYUN KIM,0.0,0.0,0.0,0.0,0.0,여행 유형: 가족과 여행함,0.0,4.13,5.79,3
급하다 하고 떠나다 여행 으로 준비 하다 시간 없다 깔끔하다 찾다 발견 우선 호텔 자체 시내 있다 편하다 이동 가능하다 내부 시설 생기다 얼마 안되다 그렇다 깨끗하다 만족하다 조식 같이 신청 하다 먹다 조식 추천 하다 정도 아니다 시간 없다 귀찮다 해결 하다 무난 다다르다 에서 창문 열다 바다 가보 달다 너무 좋다 시내 있다 저희 는바 다가 보이다 라서 전망 좋다 분위기 좋다 여자 이간 깔끔하다 엄청 신경 써다 화장실 깨끗하다 주변 시장 있다 식사 해결 도편 하고 제주 에서 묵다 방중 에가 장맘 들다 가격 소셜 사이트 한창 할인 행사 가다 크다 돈안 이고 자다 오다,엠스테이 호텔 제주,kye14481,0.0,0.0,0.0,0.0,0.0,여행 유형: 가족과 여행함,0.0,4.41,5.79,3
명절 기간 조용하다 휴식 고자 묶다 조용하다 서귀포 바다 전망 하다 깨끗하다 호텔 이다 수영 장이 있다 하다 작다 룸서비스 없다 불만 이다,엠스테이 호텔 제주,Hyunjung Seo,0.0,0.0,0.0,0.0,0.0,여행 유형: 나 혼자 여행함,0.0,3.17,5.79,3
컨디션 문제 없다 욕실 비치 되다 어메니티 보고 충격 하다 없다 모텔 에서도 쓰다 않다 저런 어메니티 두다 어차피 쓰다 않다 그래도 저런 놓이다 그렇다 굳이 길다 하다 필요없다 이조식 비추다 들다 않다 권장 하다 천원 값어치 만큼 하니 끄다 그리다 파티 에선 특급 이라고 되어다 호텔 등급 가요 입구 현판 도안 박히다,엠스테이 호텔 제주,The Flying Ako,0.0,0.0,0.0,0.0,0.0,여행 유형: 나 혼자 여행함,0.0,1.87,5.79,3
생기다 오래되다 않다 시설 깔끔하다 회사 지원 으로 저렴하다 예약 하다 가격 대비 훌륭하다 대신 조식 종류 많다 않다 저그 요가 성비 좋다,엠스테이 호텔 제주,123minyy,0.0,0.7071,0.0,0.0,0.0,여행 유형: 연인과 여행함,0.0,5.75,5.79,3
